,주유소 이름,주소,Latitude,Longitude,휘발유 가격
1,해안주유소,부산 강서구 낙동남로 432,35.1117866,128.8674669,1549
2,신창에너지㈜직영 송정셀프주유소,부산 강서구 낙동남로 127 (송정동),35.1018859,128.8369645,1549
3,서강주유소,부산 강서구 낙동북로 42 (강동동),35.2187726,128.9341666,1557
4,은마석유 경기장주유소,부산 강서구 낙동북로 364,35.2119109,128.9680542,1557
5,동방석유㈜직영 대저주유소,부산 강서구 낙동북로 209 (대저1동),35.2142058,128.9516934,1557
6,우리2주유소,부산 강서구 낙동북로 142,35.2153294,128.9443642,1557
7,부산신항주유소,부산 강서구 가락대로 706,35.1369115,128.8696791,1569
8,구랑주유소,부산 강서구 가락대로 546 (구랑동),35.1274383,128.8542168,1569
9,(주)경인에너지,부산 강서구 생곡로 40 (녹산동),35.1247053,128.8975213,1569
10,세기상사(주) 공항주유소,부산 강서구 공항로 469 (대저2동),35.1497489,128.9523993,1569
11,CJ 성민제2주유소,부산 강서구 봉림길94번길 89(봉림동),35.1736199,128.895235,1569
12,은마석유(주)신호주유소,부산 강서구  낙동남로 514,35.1121623,128.8763404,1569
13,명지농협주유소,부산 강서구 르노삼성대로 572 (명지동),35.0986439,128.9277957,1569
14,(주)시큐 국제산단주유소,부산 강서구 생곡로 272,35.1372944,128.8857959,1569
15,(주)천일에너지 천일주유소,부산 강서구 낙동북로 65 (강동동),35.2185489,128.9368755,1569
16,CJ대한통운㈜ 신항 P-OIL,부산 강서구 가락대로 1027,35.1615189,128.8872092,1569
17,OS신항주유소,부산 강서구 가락대로 845,35.1475143,128.8770028,1569
18,CJ대한통운㈜ 성민주유소,부산 강서구 가락대로 389 (송정동),35.1073909,128.8471073,1569
19,㈜BSJ신항만물류주유소,부산 강서구 가락대로 834,35.1464424,128.8773419,1569
20,은마석유(주)직영 강서주유소,부산 강서구 공항로 483,35.1508022,128.9528603,1569
21,공항대로주유소,부산 강서구 공항로 1217 (대저1동),35.2178733,128.9571586,1569
22,지에스칼텍스㈜ 동성셀프주유소,부산 강서구 명지국제8로 272,35.0974374,128.9224725,1569
23,(주)우양네트웍스 송산주유소,부산 강서구 호계로 200 (죽동동),35.2090131,128.8909415,1575
24,대양석유(주)한마음주유소,부산 강서구 르노삼성대로 604 (명지동),35.101597,128.9286125,1579
25,(주)범방주유소,부산 강서구 가락대로 963,35.156477,128.8844438,1579
26,맥도주유소,부산 강서구 공항로 381 (대저2동),35.1423125,128.9492062,1579
27,오봉주유소,부산 강서구 호계로 1 (죽림동),35.1959192,128.9010807,1588
28,제일주유소,부산 강서구 가락대로 1417,35.1911088,128.9038711,1588
29,부산축산업협동조합 농협주유소,부산광역시 강서구  낙동남로 448 (녹산동),35.1138853,128.8844628,1589
30,㈜도감에너지,부산 강서구 낙동남로 501 (녹산동),35.1127562,128.8744421,1589
31,내트럭(주) 부산신항남컨사업소,부산 강서구 신항남로 507,35.0674602,128.8338993,1589
32,평강주유소,부산 강서구 평강로 309 (대저1동),35.2126119,128.9465611,1596
33,이왕주유소,부산 강서구 공항로 1423 (대저1동),35.2149639,128.9700669,1598
34,금룡주유소,부산 강서구 가락대로 1361 (봉림동),35.1688485,128.8946363,1598
35,(주)우양네트웍스 구도일주유소 삼광,부산 강서구 공항로 799 (대저2동),35.1783867,128.95762,1599
36,김해공항주유소,부산 강서구 공항진입로 25 (대저2동),35.1809924,128.9554027,1599
37,신항만주유소,부산 강서구 가락대로1243번길 68,35.1765273,128.8973495,1599
38,녹산주유소,부산 강서구 낙동남로 700,35.1199308,128.8925583,1599
39,우리들주유소,부산 강서구 낙동남로 667 (녹산동),35.1182288,128.8897197,1628
40,유성주유소,부산 강서구 생곡로 337 (생곡동),35.1381968,128.8789379,1628
41,녹산화물터미널주유소,부산 강서구 녹산산업북로 119 (송정동),35.0992685,128.8372639,1628
42,명품주유소,부산 강서구 대저로 283 (대저1동),35.2122785,128.9830328,1658
43,(주)시큐 대저고속주유소,부산 강서구 체육공원로 66 (대저1동),35.2097568,128.9746517,1658
44,(주)소모 과학셀프주유소,부산 강서구 과학산단로 297 (지사동),35.1486221,128.8372388,1659
45,서부산주유소(순천방향),부산광역시 강서구 남해2지선고속도로 19,35.1622454,128.9221863,1668
46,명지주유소,부산 강서구 낙동남로 1042,35.1126998,128.9266869,1678
47,(주)서호주유소,부산 강서구 명지국제2로28번길 36,35.0921737,128.9090982,1678
48,만선주유소,부산 강서구 가락대로210번길 102,35.1054222,128.8439241,1698
49,비케이원(주) 미래드림주유소,부산 강서구 가락대로 649,35.1347164,128.8638059,1709
50,대양산업(주)대양가덕주유소,부산 강서구 거가대로 2571,35.0228415,128.8078705,1788
51,광신석유(주)직영 명지주유소,부산 강서구 르노삼성대로 372,35.0893564,128.8975986,1899
52,한길주유소 금사점 한솔유화㈜,부산 금정구 반송로 420 (금사동),35.2141828,129.1102295,1549
53,훼미리알뜰주유소,부산 금정구 두실로 2,35.2605587,129.0909988,1575
54,은마석유 노포주유소,부산 금정구 중앙대로 2191 (노포동),35.280053,129.0931034,1575
55,청룡명품주유소,부산 금정구 중앙대로 2130,35.274527,129.0928928,1575
56,금두꺼비주유소,부산광역시 금정구  부곡로 67 (부곡동),35.2222993,129.0901103,1587
57,금강주유소,부산 금정구 중앙대로 1972,35.2609329,129.0917364,1589
58,한길주유소 부산점 한솔유화㈜,부산 금정구 중앙대로 1646,35.2312689,129.0918732,1597
59,신화주유소,부산 금정구 금강로 721,35.2719461,129.0887701,1618
60,동진주유소,"부산 금정구 금정로 216,  (구서동)",35.2433788,129.0902016,1619
61,에이원주유소,부산 금정구 반송로 364 (서동),35.2109171,129.1058791,1625
62,비케이원㈜ 대박드림주유소,부산 금정구 중앙대로 1597,35.2274093,129.089411,1629
63,금정산주유소,부산 금정구 금샘로 399 (구서동),35.2588497,129.0838548,1637
64,식물원주유소,부산 금정구 금샘로 21 (장전동),35.2277823,129.0776608,1685
65,동양주유소,부산 금정구  반송로 391 (서동),35.2131399,129.1070593,1687
66,새석대주유소,부산 금정구 반송로 463 (금사동),35.2158252,129.1145594,1697
67,남산주유소,부산 금정구 중앙대로 2044 (남산동),35.2666312,129.0930617,1698
68,지에스칼텍스(주)영풍주유소,부산 금정구 중앙대로 1782 (부곡동),35.2432973,129.0936859,1709
69,기장대로 셀프주유소 와이케이에너지㈜,부산 기장군 기장읍 기장대로 343,35.2263198,129.2141277,1519
