주유소 이름,주소,휘발유 가격
해안주유소,부산 강서구 낙동남로 432,1549
신창에너지㈜직영 송정셀프주유소,부산 강서구 낙동남로 127 (송정동),1549
서강주유소,부산 강서구 낙동북로 42 (강동동),1557
은마석유 경기장주유소,부산 강서구 낙동북로 364,1557
동방석유㈜직영 대저주유소,부산 강서구 낙동북로 209 (대저1동),1557
우리2주유소,부산 강서구 낙동북로 142,1557
부산신항주유소,부산 강서구 가락대로 706,1569
구랑주유소,부산 강서구 가락대로 546 (구랑동),1569
(주)경인에너지,부산 강서구 생곡로 40 (녹산동),1569
세기상사(주) 공항주유소,부산 강서구 공항로 469 (대저2동),1569
CJ 성민제2주유소,부산 강서구 봉림길94번길 89(봉림동),1569
은마석유(주)신호주유소,부산 강서구  낙동남로 514,1569
명지농협주유소,부산 강서구 르노삼성대로 572 (명지동),1569
(주)시큐 국제산단주유소,부산 강서구 생곡로 272,1569
(주)천일에너지 천일주유소,부산 강서구 낙동북로 65 (강동동),1569
CJ대한통운㈜ 신항 P-OIL,부산 강서구 가락대로 1027,1569
OS신항주유소,부산 강서구 가락대로 845,1569
CJ대한통운㈜ 성민주유소,부산 강서구 가락대로 389 (송정동),1569
㈜BSJ신항만물류주유소,부산 강서구 가락대로 834,1569
은마석유(주)직영 강서주유소,부산 강서구 공항로 483,1569
공항대로주유소,부산 강서구 공항로 1217 (대저1동),1569
지에스칼텍스㈜ 동성셀프주유소,부산 강서구 명지국제8로 272,1569
(주)우양네트웍스 송산주유소,부산 강서구 호계로 200 (죽동동),1575
대양석유(주)한마음주유소,부산 강서구 르노삼성대로 604 (명지동),1579
(주)범방주유소,부산 강서구 가락대로 963,1579
맥도주유소,부산 강서구 공항로 381 (대저2동),1579
오봉주유소,부산 강서구 호계로 1 (죽림동),1588
제일주유소,부산 강서구 가락대로 1417,1588
부산축산업협동조합 농협주유소,부산광역시 강서구  낙동남로 448 (녹산동),1589
㈜도감에너지,부산 강서구 낙동남로 501 (녹산동),1589
내트럭(주) 부산신항남컨사업소,부산 강서구 신항남로 507,1589
평강주유소,부산 강서구 평강로 309 (대저1동),1596
이왕주유소,부산 강서구 공항로 1423 (대저1동),1598
금룡주유소,부산 강서구 가락대로 1361 (봉림동),1598
(주)우양네트웍스 구도일주유소 삼광,부산 강서구 공항로 799 (대저2동),1599
김해공항주유소,부산 강서구 공항진입로 25 (대저2동),1599
신항만주유소,부산 강서구 가락대로1243번길 68,1599
녹산주유소,부산 강서구 낙동남로 700,1599
우리들주유소,부산 강서구 낙동남로 667 (녹산동),1628
유성주유소,부산 강서구 생곡로 337 (생곡동),1628
녹산화물터미널주유소,부산 강서구 녹산산업북로 119 (송정동),1628
명품주유소,부산 강서구 대저로 283 (대저1동),1658
(주)시큐 대저고속주유소,부산 강서구 체육공원로 66 (대저1동),1658
(주)소모 과학셀프주유소,부산 강서구 과학산단로 297 (지사동),1659
서부산주유소(순천방향),부산광역시 강서구 남해2지선고속도로 19,1668
명지주유소,부산 강서구 낙동남로 1042,1678
(주)서호주유소,부산 강서구 명지국제2로28번길 36,1678
만선주유소,부산 강서구 가락대로210번길 102,1698
비케이원(주) 미래드림주유소,부산 강서구 가락대로 649,1709
대양산업(주)대양가덕주유소,부산 강서구 거가대로 2571,1788
광신석유(주)직영 명지주유소,부산 강서구 르노삼성대로 372,1899
한길주유소 금사점 한솔유화㈜,부산 금정구 반송로 420 (금사동),1549
훼미리알뜰주유소,부산 금정구 두실로 2,1575
은마석유 노포주유소,부산 금정구 중앙대로 2191 (노포동),1575
청룡명품주유소,부산 금정구 중앙대로 2130,1575
금두꺼비주유소,부산광역시 금정구  부곡로 67 (부곡동),1587
금강주유소,부산 금정구 중앙대로 1972,1589
한길주유소 부산점 한솔유화㈜,부산 금정구 중앙대로 1646,1597
신화주유소,부산 금정구 금강로 721,1618
동진주유소,"부산 금정구 금정로 216,  (구서동)",1619
에이원주유소,부산 금정구 반송로 364 (서동),1625
비케이원㈜ 대박드림주유소,부산 금정구 중앙대로 1597,1629
금정산주유소,부산 금정구 금샘로 399 (구서동),1637
식물원주유소,부산 금정구 금샘로 21 (장전동),1685
동양주유소,부산 금정구  반송로 391 (서동),1687
새석대주유소,부산 금정구 반송로 463 (금사동),1697
남산주유소,부산 금정구 중앙대로 2044 (남산동),1698
지에스칼텍스(주)영풍주유소,부산 금정구 중앙대로 1782 (부곡동),1709
기장대로 셀프주유소 와이케이에너지㈜,부산 기장군 기장읍 기장대로 343,1519
신아시아드주유소/충전소 은마석유㈜,부산광역시 기장군 일광면 기장대로 996,1519
내리주유소,부산 기장군 기장읍 기장대로 84,1529
월드컵주유소,부산 기장군 일광면 기장대로 1230,1539
세방주유소,부산 기장군 일광면 기장대로 1195,1549
기장IC주유소,부산 기장군 일광면 기장대로 670,1565
선암주유소,부산 기장군 장안읍 기장대로 1453,1565
(주)동광주유소,부산 기장군 기장읍 차성로 241,1565
부경셀프주유소,부산 기장군 기장읍 반송로 1407,1565
삼성셀프주유소,부산 기장군 일광면 기장대로 677,1565
공단신도시주유소,부산 기장군 정관면 정관로 835,1565
용문주유소,부산 기장군 일광면 기장대로 710,1565
하영주유소,부산 기장군 기장읍 반송로 1517,1565
국제주유소,부산 기장군 일광면 기장대로 1291,1569
삼거리주유소,부산 기장군 기장읍 반송로 1653,1569
대영주유소,부산 기장군 정관면 정관로 249,1578
(주)천일에너지 천일주유소,부산 기장군 신정관로 183,1580
백운1주유소,부산 기장군 정관면 정관로 779,1580
㈜첼시주유소,부산 기장군 장안읍 정관로 1148,1580
의학원self주유소,부산 기장군 장안읍 좌동길 47,1580
정관신도시주유소/충전소,부산 기장군 정관면 정관로 901,1580
달음산주유소,부산 기장군 장안읍 정관로 1115,1580
기분조은주유소,부산 기장군 정관면 정관로 787,1580
동부산농협클린주유소,부산 기장군 일광면 기장대로 1037,1584
뉴장안IC주유소,부산 기장군 장안읍 좌동길 45,1585
오성주유소,부산 기장군 일광면 일광로 722,1593
(주)동남주유소,부산 기장군 철마면 반송로 983,1598
장안IC(상)주유소,부산 기장군 장안읍 기장대로 1586,1598
안평주유소,부산 기장군 철마면 반송로 1300,1598
태양주유소,부산 기장군 기장읍 대변로 13,1617
(주)푸른숲self주유소,부산 기장군 장안읍 기장대로 1751,1618
창암주유소,부산 기장군 정관면 신정관로 188,1625
(주)더힘찬주유소,부산 기장군 장안읍 기장대로 1673,1627
장안IC(하)주유소,부산 기장군 장안읍 기장대로 1615,1628
명례주유소,부산 기장군 장안읍 기장대로 2217,1628
솔밭주유소,부산 기장군 장안읍 하근3길 8,1635
KH에너지㈜직영 장안주유소(울산방향),부산 기장군 장안읍 동해고속도로 26,1638
KH에너지㈜직영 장안주유소(부산방향),부산 기장군 장안읍 동해고속도로 25,1638
공단주유소,부산 기장군 정관면 정관로 833,1648
동양주유소/기장충전소,부산 기장군 기장읍 기장대로 530,1659
