,이름,위도,경도,주소,타입
0,금정남산동DT,35.2621786292157,129.091325043351,부산광역시 금정구,pin_generalDT
1,금정구청DT,35.2388135211636,129.092985849499,부산광역시 금정구,pin_generalDT
2,온천장역DT,35.224006,129.08656,부산광역시 금정구,pin_generalDT
3,부산대정문,35.23212165114605,129.0844959292725,부산광역시 금정구,pin_general
4,부산대역,35.23052180284867,129.08869433543111,부산광역시 금정구,pin_general
5,금정이마트,35.249819818853915,129.09078227309334,부산광역시 금정구,pin_general
6,금정구서,35.246908383445785,129.08873844189125,부산광역시 금정구,pin_general
7,부산서동,35.21463924851766,129.10558442984572,부산광역시 금정구,pin_general
8,용호동W스퀘어,35.1337011,129.113324,부산광역시 남구,pin_general
9,동명대DT,35.12311959047579,129.09901642703608,부산광역시 남구,pin_generalDT
10,BIFC Mall,35.14631046844054,129.0658885485103,부산광역시 남구,pin_general
11,부산대연역,35.13503615347691,129.09309969594813,부산광역시 남구,pin_general
12,경성대,35.137345553736964,129.10063775537583,부산광역시 남구,pin_general
13,문현이마트,35.144695123536415,129.06430350788162,부산광역시 남구,pin_general
14,부산유엔공원,35.1299808,129.0980971,부산광역시 남구,pin_general
15,용호빌리브,35.1311,129.1126,부산광역시 남구,pin_general
16,부산대연못골,35.13609516236527,129.09191736599408,부산광역시 남구,pin_general
17,부산역라마다,35.11434481154264,129.04030612857068,부산광역시 동구,pin_general
18,부산역아스티,35.11612791103763,129.04171604868281,부산광역시 동구,pin_general
19,부산역,35.11634794930394,129.04069059547626,부산광역시 동구,pin_general
20,범일동일타워,35.13879394894444,129.06395425040046,부산광역시 동구,pin_general
21,서면중앙대로R,35.15286800166649,129.05944626017197,부산광역시 부산진구,pin_reserve
22,서면로R,35.15524851626055,129.0576381743508,부산광역시 부산진구,pin_reserve
23,양정역,35.170171720959104,129.0692742371578,부산광역시 부산진구,pin_general
24,동의대역,35.15495095970587,129.03618733441533,부산광역시 부산진구,pin_general
25,부산개금역,35.1529820637631,129.02259825927663,부산광역시 부산진구,pin_general
26,서면전포역,35.154364828346324,129.06362887930075,부산광역시 부산진구,pin_general
27,부산서면중앙로,35.1554897646539,129.0589527478538,부산광역시 부산진구,pin_general
28,서면서전로,35.157919185437365,129.0619520174245,부산광역시 부산진구,pin_general
29,부산서면,35.154098,129.061562,부산광역시 부산진구,pin_general
30,서면역,35.15789381388878,129.0600009198993,부산광역시 부산진구,pin_general
31,부전역,35.16181113722542,129.06201461279443,부산광역시 부산진구,pin_general
32,서면센트럴스퀘어,35.1516177133099,129.06089873180213,부산광역시 부산진구,pin_general
