"시점","항목","출입국항별","내외국인별","성별",데이터
"2000","입국자","김해(김해공항)","내국인","남자",4538
"2000","입국자","김해(김해공항)","내국인","여자",4306
"2000","입국자","김해(김해공항)","외국인","남자",1845
"2000","입국자","김해(김해공항)","외국인","여자",1651
"2000","출국자","김해(김해공항)","내국인","남자",6373
"2000","출국자","김해(김해공항)","내국인","여자",6124
"2000","출국자","김해(김해공항)","외국인","남자",1772
"2000","출국자","김해(김해공항)","외국인","여자",1250
"2001","입국자","김해(김해공항)","내국인","남자",6888
"2001","입국자","김해(김해공항)","내국인","여자",5694
"2001","입국자","김해(김해공항)","외국인","남자",3009
"2001","입국자","김해(김해공항)","외국인","여자",2374
"2001","출국자","김해(김해공항)","내국인","남자",9152
"2001","출국자","김해(김해공항)","내국인","여자",8109
"2001","출국자","김해(김해공항)","외국인","남자",3173
"2001","출국자","김해(김해공항)","외국인","여자",1871
"2002","입국자","김해(김해공항)","내국인","남자",8407
"2002","입국자","김해(김해공항)","내국인","여자",7198
"2002","입국자","김해(김해공항)","외국인","남자",4201
"2002","입국자","김해(김해공항)","외국인","여자",3171
"2002","출국자","김해(김해공항)","내국인","남자",10098
"2002","출국자","김해(김해공항)","내국인","여자",9316
"2002","출국자","김해(김해공항)","외국인","남자",3779
"2002","출국자","김해(김해공항)","외국인","여자",2127
"2003","입국자","김해(김해공항)","내국인","남자",8839
"2003","입국자","김해(김해공항)","내국인","여자",7754
"2003","입국자","김해(김해공항)","외국인","남자",3492
"2003","입국자","김해(김해공항)","외국인","여자",3049
"2003","출국자","김해(김해공항)","내국인","남자",9964
"2003","출국자","김해(김해공항)","내국인","여자",9832
"2003","출국자","김해(김해공항)","외국인","남자",4577
"2003","출국자","김해(김해공항)","외국인","여자",2627
"2004","입국자","김해(김해공항)","내국인","남자",8020
"2004","입국자","김해(김해공항)","내국인","여자",7882
"2004","입국자","김해(김해공항)","외국인","남자",3622
"2004","입국자","김해(김해공항)","외국인","여자",3532
"2004","출국자","김해(김해공항)","내국인","남자",10575
"2004","출국자","김해(김해공항)","내국인","여자",10597
"2004","출국자","김해(김해공항)","외국인","남자",6344
